SNR(dB),802.11a-rate selected,802.11a-observed
27.0,54.0,24.322
26.0,54.0,25.1494
25.0,54.0,25.1167
24.0,54.0,25.0429
23.0,54.0,25.2805
22.0,54.0,25.2068
21.0,54.0,25.215
20.0,54.0,25.0429
19.0,54.0,24.5268
18.0,54.0,21.0698
17.0,48.0,19.4314
16.0,36.0,17.2196
15.0,36.0,18.3747
14.0,36.0,18.2272
13.0,36.0,17.7684
12.0,36.0,14.0657
11.0,24.0,14.336
10.0,24.0,14.1804
9.0,18.0,11.1329
8.0,18.0,11.5999
7.0,18.0,11.5343
6.0,12.0,9.18323
5.0,12.0,8.6016
4.0,12.0,8.21658
3.0,9.0,6.11123
