SNR(dB),802.11a-rate selected,802.11a-observed
27.0,54.0,25.1085
26.0,54.0,25.1494
25.0,54.0,25.0921
24.0,54.0,25.0593
23.0,54.0,25.3051
22.0,54.0,25.174
21.0,54.0,25.215
20.0,54.0,25.0511
19.0,48.0,23.6175
18.0,48.0,23.5438
17.0,36.0,20.2179
16.0,36.0,20.1605
15.0,36.0,20.2342
14.0,36.0,20.1441
13.0,24.0,15.7368
12.0,24.0,15.7123
11.0,24.0,15.6631
10.0,18.0,12.714
9.0,18.0,12.6976
8.0,18.0,12.673
7.0,18.0,12.542
6.0,12.0,9.29792
5.0,12.0,9.28973
4.0,9.0,7.20896
3.0,6.0,5.12819
