SNR(dB),802.11a-rate selected,802.11a-observed
27.0,54.0,23.126
26.0,54.0,25.2068
25.0,54.0,24.8545
24.0,54.0,25.1494
23.0,54.0,24.8381
22.0,54.0,25.1085
21.0,54.0,24.8218
20.0,54.0,25.1249
19.0,54.0,24.3057
18.0,48.0,21.7661
17.0,48.0,17.0312
16.0,36.0,14.7046
15.0,36.0,15.4911
14.0,36.0,18.5057
13.0,36.0,17.6947
12.0,24.0,10.6414
11.0,24.0,12.8041
10.0,24.0,13.3448
9.0,18.0,9.28154
8.0,18.0,10.5923
7.0,18.0,10.9527
6.0,18.0,8.60979
5.0,12.0,7.61037
4.0,12.0,7.89709
3.0,9.0,5.48864
