SNR(dB),802.11a-rate selected,802.11a-observed
27.0,6.0,5.11181
26.0,9.0,7.24992
25.0,12.0,9.28154
24.0,18.0,12.673
23.0,24.0,15.7123
22.0,36.0,20.1605
21.0,48.0,23.5848
20.0,54.0,25.2396
19.0,54.0,24.9119
18.0,54.0,20.7995
17.0,54.0,11.8129
16.0,36.0,13.2956
15.0,36.0,20.1032
14.0,36.0,9.98605
13.0,36.0,19.1365
12.0,36.0,12.4191
11.0,24.0,15.6795
10.0,36.0,8.06912
9.0,18.0,10.5923
8.0,18.0,12.6894
7.0,24.0,6.5536
6.0,18.0,9.34707
5.0,12.0,5.15277
4.0,12.0,8.79821
3.0,12.0,3.15392
