SNR(dB),802.11a-rate selected,802.11a-observed
27.0,6.0,5.11181
26.0,6.0,5.11181
25.0,6.0,5.11181
24.0,6.0,5.11181
23.0,6.0,5.12
22.0,6.0,5.11181
21.0,6.0,5.11181
20.0,6.0,5.11181
19.0,6.0,5.12
18.0,6.0,5.11181
17.0,9.0,7.23354
16.0,9.0,7.2663
15.0,9.0,7.23354
14.0,9.0,7.23354
13.0,9.0,7.24992
12.0,9.0,7.24173
11.0,9.0,7.25811
10.0,9.0,7.24992
9.0,9.0,7.25811
8.0,9.0,7.2745
7.0,12.0,9.27334
6.0,12.0,9.30611
5.0,12.0,9.27334
4.0,12.0,8.8064
3.0,12.0,2.7689
