SNR(dB),802.11a-rate selected,802.11a-observed
27.0,54.0,25.1331
26.0,54.0,25.1576
25.0,54.0,25.0921
24.0,54.0,25.0593
23.0,54.0,25.3051
22.0,54.0,25.1822
21.0,54.0,25.2068
20.0,54.0,25.0429
19.0,54.0,24.3302
18.0,48.0,21.0125
17.0,48.0,19.3085
16.0,48.0,13.0171
15.0,36.0,7.17619
14.0,48.0,7.07789
13.0,48.0,7.13523
12.0,36.0,11.2067
11.0,36.0,5.16096
10.0,36.0,4.82509
9.0,36.0,9.79763
8.0,24.0,6.0457
7.0,24.0,5.95558
6.0,18.0,7.2663
5.0,18.0,3.35872
4.0,18.0,3.3751
3.0,9.0,4.85786
